,text
0,"リバーレのファン仲間(当然女子比率高め)の中にはバンさんユキさんのことはアイドルとして好きだけどファンクラブあるくらいイケメンコミュ強のモモと喋ってたら当然好きになっちゃう女子もいただろうしバレンタインとかに「百くん、これ…！」っ… 
"
1,"ハ〜〜〜みんな言ってるけどTシャツバンさん肩幅とか腕とか男らしくて180cmの骨格しててサイコ〜〜〜スーツ着痩せするもんね・・・モモもスポーツマンだけど元の骨格の逞しさが万＞千＞百なんだろうな、、神っちと解釈が合う、、(合掌)
"
2,"バンさんがモモの服引っ張ったときに肩まで見えちゃってるのｴﾁｴﾁのｴﾁすぎない
"
3,"神の推しカプ新刊を読んだ(ﾗﾗDX)
"
4,"百載読んでるとモモが台詞だけじゃなく地の文でもイケメンイケメン言ってて本当にユキさんの顔が好きなんだなあ〜ってほのぼのするね・・・
"
5,"ユキさんもそういうことする
"
6,"好きだ…(好きだ…)(好きだ…)(好きだ…)(好きだ…)(無限エコー)
"
7,"この最高なCM何chで見れますか〜！！！！😭😭😭
"
8,"このアカウント一歳になった
"
9,"みんな大好き八乙女パパ 
"
10,"いじらしいな、、😌💗
"
11,"イベント行ったことないからいつか行ってみたい・・・✨
"
12,"フリーフォント見てたら小学生の字を集めた全児童フォントていうのがモモくんぽくて和んだ😊小学生🤔 
"
13,"高校生モモくんお風呂溢れさすけどちゃんと自分で沸かしてるのえらいな〜（；＿；）うちの弟家の手伝いしてるの見たことないよ〜
"
14,"ユキさんはかっこいいけどかわいいしモモちゃんはかわいいけどかっこいいし今日もかわいくてかっこいいユキモモのことを考えていたら１日があっというまに終わった
"
15,"一織くんの声いいな〜〜ラジオ5時間くらいずっと聴いてたい
"
16,"トリガー後編見た！モモの笑い方いないいないばあ見た後の赤ちゃんみたいな笑い方であまりにもかわいくて泣いた 先輩っぽい仕草とのギャップがサイコ〜
"
17,"高校サッカーの映像見てたら取材受けてる選手とかめっちゃ素朴で初々しくてキラキラしてて泣いてしまう〜〜百瀬・・・(百瀬ではない)
"
18,"ヌンッ😢
"
19,"受けが女子と付き合うだけの人生だったら知り得なかった色々なことを攻めと付き合うことで知っていくの最高なんだよな〜〜〜友人のまま過ごしていれば知るはずのなかった攻めの腰骨の硬さとかをよぉ・・・
"
20,"ユキモモ当然のようにユキさんのほうが背高いのいいな〜〜今まで彼女とキスするときは下向いて屈んでたモモくんがユキさんとするときは上向かないとチューできないんでしょ・・・
"
21,"私が総理ならキャラデザのときモモを八重歯にしよって決めた人に国民栄誉賞あげてるな
"
22,"愛って曖昧なものだけどモモとずっと暮らしてきてはじめて愛を信じてもいいって思えたユキさんの歌じゃんね・・・
"
23,"フル聴いたけどこんなにあからさまにわかりやすく名指しのthank you for your loveある〜！？ってびっくりしちゃった
"
24,"誕生日絵誰かひとり描くと全員分描きたくなっちゃうので描かないことにしてたけどやっぱ推しカプは祝っときたいよな〜〜！と思って描いたコレ結構気に入ってるので来年も再来年も千年先のその先も使いまわそうと思う(使いまわすな)
"
25,"お腹がすいた時とかに食べれる 
"
26,"最後のページのモモ、神様に出会ってしまった顔をしてるな・・・・・・
"
27,"も、も、百瀬〜〜〜〜〜〜〜〜〜〜ペロペロペロペロペロペロペロペロペロペロペロペロペロペロ(ララデラを読みました)
"
28,"学校で人気者の春原くん いろんな人に親しげに下の名前で呼ばれてるので他のクラスの人たちにも名前覚えられるんだけど始めて喋った隣のクラスの人に「ところで百瀬って下の名前なんていうの？」って聞かれる(名前が苗字っぽい人あるある)
"
29,"心の汚れた腐女子なのであの文面が 
"
30,"ノベライズ最後まで読んでめちゃくちゃ感動して全身浄化されたはずなのにいざ何か呟こうとするとエロ小説読み終わった後のIQ2みたいな感想しか浮かばなくてつらい
"
31,"CDってオリコンとかのアレで水曜発売は動かせないとしてモモの誕生日でもなくユキの誕生日でもなくちょうどふたりの誕生日の真ん中に発売日合わせてくれたのマジで愛しかない・・・百と千ふたりのリヴァーレだから・・・サンキュー
"
32,"4部とかアニメとかなんか色々実感がわいてきた・・・ハァハァ！！！
"
33,"アルバム発売おめでと〜〜！！！
"
34,"ユキモモ真ん中バースデーおめでとう！ 
"
35,"ユキさんも了さんもモモはチョロいなあ〜😊って思ってるんだろうけど実際にはモモのキャバ嬢テクにより手のひらで転がされてるだけなのかわいいんだよな
"
36,"アイコンを[Re:vale【千】誕生日お祝いフレーム2018.ver]でデコりました。 #アイナナ #iconDecotter 
"
37,"星巡り数年後💫カスホプとコーダ 
"
38,"月雲社長vs岡崎社長見たすぎるよ
"
39,"凛太郎今まで本編で出てこなかったのが不思議なくらい強めのキャラしてるから4部楽しみだな〜〜(出てくると信じて疑わない目)
"
40,"あの時バンさんが○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○○ 
"
41,"治安の悪いエテルノでいきなり若い男の子が王様になりますって言われて街の人は受け入れられたのかな〜って考えてたけど王族の血とか関係なくホープが毎日良い行いをしているのをみんな知ってたから彼が王様ならと受け入れられたのかな…ここで一日一善が身を結んだんだな…などと妄想しながら泣いた
"
42,"ホープちゃんカース大好きすぎて同年代の男子とかにや〜いファザコン！とかからかわれてたらかわいいな・・・本当のお父さんじゃないからファザコンじゃないもん！と謎の反論するホープちゃん😢
"
43,"カスホプの距離感どう考えても思春期の息子と父親代わりの男のソレではなくてニッコリしてしまう・・・ユキモモのようなバカップル感でもなく幼児期におけるパパだいすき〜！のテンションを保ったまま大人になってしまったみたいな・・・
"
44,"星巡りメッチャ面白かった〜〜！この映画確実にアイナナ世界で一大ジャンルを築き上げてますね・・・
"
45,"ニコ生の🌟さん面白すぎて定期的に思い出しては癒されてしまうな
"
46,"モモ演じるホープはピュアな役だよねという話をしててユキさんにモモだってピュアでしょ？と言われたらホープはピュアだけど…オレは汚れちゃったピュア…と答えるモモちゃん(🌟さん…)
"
47,"星巡り面白すぎッシュセブン…ホープちゃんとコーダちゃんは百合
"
48,"100%ハピネス毎朝きいてるけどどんなに眠くても強制的にテンション上がるからほんとモモみたいな曲だよ・・・LOVE
"
49,"ハピネス！！！！！！！
"
50,"モモより年上のユキさんバンさん了さんおかりん皆ひとりっ子とか次男坊なのも良・・・モモが素で甘えられるのが年上の人たちじゃなくて年下の三月や龍なのほんとかわょ
"
51,"普段は朝から晩までテンション高いのに運動部といるときは大人っぽくて落ち着いてるモモ の実態が 三月や龍と一緒にいると二人とも長男でしっかりしてるから弟気質なところが出て実家でいる時みたいにぼーっとしちゃうモモ なのめちゃめちゃめちゃ好きなんだよ〜
"
52,"もう何回も見てるのに朝起きてログボのモモちゃん見るたびに天使かと思った・・・ってびっくりしてしまうんだよな
"
53,"リバーレの百としてじゃなくひとりのアイドルとしての姿メッチャいいな〜〜〜！これユキさんのときもネイルとか指輪はずすのかな
"
54,"ピアスも指輪もネイルもとっぱらったモモちゃんなんか生まれたままの姿を見てしまったようなめっちゃイケナイ気持ちになるな、、、いつも全身に銀紙はっつけて武装してるモモちゃんが、、こんな、、こんなの実質裸と同じですよ
"
55,"仲良し🌟 
"
56,"アイコンを[Re:vale【百】誕生日お祝いフレーム2018.ver]でデコりました。 #アイナナ #iconDecotter 
"
57,"いきも…がかりといえば昔ポッキーのCMあったじゃないですか〜！ポッキーダンスするモモくん絶対かわいいよ…11月11日生まれだからという理由でポッキーのCMからオファ〜くるモモくん
"
58,"ピクシブ最近見るだけしか使ってなかったけど久しぶりに投稿したらなんか新鮮で楽しい〜👆👆👆
"
59,"宝石ログ | ケムリ #pixiv  枚数少ないけど宝石の国もまとめました💎
"
60,"今日何回その話すんねんて感じだけどユキさんに頭とか背中とか撫でられながらだんだん落ち着いてきて涙も止まったころウワ・・・オレユキさんに抱きしめられてるって実感して顔真っ赤にするモモちゃんが見たいよ
"
61,"ユキさんと了さんだけが百を呼ぶとき漢字じゃなくてカタカナ表記なの特別感あって好きなんだけどユキさんが泣いてるモモを抱きしめたときの呼び方が「モモ」じゃなくて「百」だったのめちゃめちゃグッとくるんだよな〜〜あのとき呼んだのはきっとR… 
"
62,"ボロアパートでモモを抱きしめた後のユキさんギター片手にバンプでいうところのembraceみたいな曲作曲しそうなとこある 26、7歳の元バンドマンでバンプを通ってない男はいないので(何の話？)
"
63,"千古不磨が推しカプのバイブルすぎて何回も読んでしまうんですけど最初の頃はモモの涙に泣かないでよ…ってうろたえてたユキさんが優しくほほえみながらモモを抱きしめられるようになるまでの過程が愛おしすぎるし最初は目真っ赤にしながら泣いてませんって我慢してたモモちゃんがユキさんの
"
